                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1304,                 3.2838,                 2.9128,                0.00051,                   0.15,                0.00113,                0.00023,                 4.5726,                  6.082,                 4.8436,              1.667e-05,              1.667e-05,              1.667e-05
                      2,                 3.1252,                 3.3344,                 3.0004,                0.00034,                    0.1,                0.00104,                 0.0001,                 4.5965,                 5.6864,                 4.7222,              4.902e-05,              4.902e-05,              4.902e-05
                      3,                  2.583,                 3.1739,                 2.6147,                  0.001,                    0.3,                0.00388,                0.00043,                 4.2924,                 5.0587,                  4.405,             8.0049e-05,             8.0049e-05,             8.0049e-05
                      4,                 2.4562,                 3.0978,                 2.5368,                0.00116,                   0.35,                0.02265,                0.00421,                 4.1467,                  4.712,                 4.3451,             0.00010976,             0.00010976,             0.00010976
                      5,                 2.6843,                 3.1224,                 2.7102,                0.00116,                   0.35,                 0.0197,                0.00203,                 4.1021,                 4.6551,                 4.1749,             0.00013815,             0.00013815,             0.00013815
                      6,                  2.552,                 2.9655,                  2.483,                 0.0015,                   0.45,                0.02033,                0.00284,                 3.9656,                 4.6084,                 3.9937,             0.00016522,             0.00016522,             0.00016522
                      7,                 2.2063,                 2.8155,                 2.3581,                0.00234,                    0.7,                0.05918,                0.00951,                 3.7379,                 4.3706,                 3.8012,             0.00019096,             0.00019096,             0.00019096
                      8,                 2.1374,                 2.6417,                  2.217,                0.00199,                    0.6,                0.11419,                0.01346,                 3.6811,                 4.0787,                 3.7144,             0.00021539,             0.00021539,             0.00021539
