                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.21081,                 1.1311,                0.93341,                0.72936,                      1,                  0.995,                  0.995,                0.24462,                 1.7351,                0.32115,             0.00036336,             0.00036336,             0.00036336
                     37,                0.18315,                0.72808,                0.92998,                0.72936,                      1,                  0.995,                  0.995,                0.24462,                 1.7351,                0.32115,              0.0003495,              0.0003495,              0.0003495
                     38,                0.20808,                0.68738,                0.91287,                 0.8152,                0.99779,                  0.995,                  0.995,                0.24159,                 1.3224,                0.33669,             0.00033432,             0.00033432,             0.00033432
                     39,                0.17655,                0.78375,                0.92247,                0.98681,                      1,                  0.995,                  0.995,                0.24641,                  1.109,                0.35685,             0.00031782,             0.00031782,             0.00031782
                     40,                 0.1638,                0.77116,                0.89752,                0.98681,                      1,                  0.995,                  0.995,                0.24641,                  1.109,                0.35685,                 0.0003,                 0.0003,                 0.0003
                     41,                0.24947,                 1.9436,                0.94066,                0.99352,                      1,                  0.995,                  0.995,                0.25491,                 1.0483,                0.36117,             0.00028086,             0.00028086,             0.00028086
                     42,                 0.2996,                 1.6076,                 1.2127,                0.99458,                      1,                  0.995,                  0.995,                0.24554,                 1.0105,                0.33656,              0.0002604,              0.0002604,              0.0002604
                     43,                0.22167,                 1.6485,                0.95365,                0.99458,                      1,                  0.995,                  0.995,                0.24554,                 1.0105,                0.33656,             0.00023861,             0.00023861,             0.00023861
                     44,                0.20026,                 1.6441,                0.93281,                0.99503,                      1,                  0.995,                  0.995,                0.21858,                 0.9996,                0.29916,             0.00021551,             0.00021551,             0.00021551
                     45,                0.21131,                 1.3423,                0.95215,                0.99503,                      1,                  0.995,                  0.995,                0.21858,                 0.9996,                0.29916,             0.00019109,             0.00019109,             0.00019109
                     46,                0.17853,                 1.6291,                0.90692,                0.99513,                      1,                  0.995,                  0.995,                0.19672,                0.95372,                0.26964,             0.00016535,             0.00016535,             0.00016535
                     47,                0.15475,                 1.1969,                 0.9646,                0.99513,                      1,                  0.995,                  0.995,                0.19672,                0.95372,                0.26964,             0.00013829,             0.00013829,             0.00013829
                     48,                0.17267,                 2.0038,                0.94676,                0.99475,                      1,                  0.995,                  0.995,                0.18729,                0.92488,                0.25825,             0.00010991,             0.00010991,             0.00010991
                     49,                0.18215,                 2.0429,                0.86706,                0.99475,                      1,                  0.995,                  0.995,                0.18729,                0.92488,                0.25825,             8.0203e-05,             8.0203e-05,             8.0203e-05
                     50,                0.16157,                 1.1423,                0.89288,                0.99449,                      1,                  0.995,                  0.995,                0.18602,                0.92328,                0.25543,              4.918e-05,              4.918e-05,              4.918e-05
