                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.16891,                0.68043,                0.93669,                0.87833,                    0.9,                0.97192,                0.64751,                0.74463,                 2.3234,                0.87118,              0.0002149,              0.0002149,              0.0002149
                     37,                0.19009,                 0.6834,                0.90642,                0.88531,                    0.9,                0.94833,                0.67723,                0.80482,                 2.2845,                0.99482,             0.00020678,             0.00020678,             0.00020678
                     38,                0.21036,                0.68783,                0.95949,                0.88531,                    0.9,                0.94833,                0.67723,                0.80482,                 2.2845,                0.99482,             0.00019788,             0.00019788,             0.00019788
                     39,                0.18969,                0.60695,                0.96266,                0.75371,                0.91928,                0.93556,                0.71315,                0.86574,                 2.2116,                  1.085,             0.00018818,             0.00018818,             0.00018818
                     40,                 0.2428,                 1.0037,                0.97184,                0.75371,                0.91928,                0.93556,                0.71315,                0.86574,                 2.2116,                  1.085,             0.00017768,             0.00017768,             0.00017768
                     41,                0.54539,                 3.3031,                 1.3243,                0.75794,                      1,                0.93556,                0.79227,                0.68039,                 2.1206,                0.87159,              0.0001664,              0.0001664,              0.0001664
                     42,                0.29099,                 2.3597,                 1.0141,                0.75794,                      1,                0.93556,                0.79227,                0.68039,                 2.1206,                0.87159,             0.00015432,             0.00015432,             0.00015432
                     43,                0.32095,                 2.4677,                 1.0444,                0.98049,                    0.9,                0.97192,                0.83691,                 0.4506,                 1.8963,                  0.635,             0.00014146,             0.00014146,             0.00014146
                     44,                 0.4692,                  2.161,                 1.2287,                0.98049,                    0.9,                0.97192,                0.83691,                 0.4506,                 1.8963,                  0.635,              0.0001278,              0.0001278,              0.0001278
                     45,                 0.2394,                 1.6988,                0.97171,                0.98236,                    0.9,                0.97192,                 0.9255,                 0.3608,                 1.7002,                0.53033,             0.00011334,             0.00011334,             0.00011334
                     46,                0.30891,                 1.9598,                 1.0584,                0.98236,                    0.9,                0.97192,                 0.9255,                 0.3608,                 1.7002,                0.53033,               9.81e-05,               9.81e-05,               9.81e-05
                     47,                0.23958,                 1.5753,                0.97493,                0.88823,                      1,                0.98591,                0.96776,                0.34538,                 1.5212,                0.50433,             8.2064e-05,             8.2064e-05,             8.2064e-05
                     48,                0.21896,                 1.5297,                 1.0018,                0.88823,                      1,                0.98591,                0.96776,                0.34538,                 1.5212,                0.50433,             6.5236e-05,             6.5236e-05,             6.5236e-05
                     49,                0.24079,                 1.9365,                 1.0965,                      1,                0.98836,                  0.995,                0.97503,                0.31343,                 1.4483,                0.46703,             4.7616e-05,             4.7616e-05,             4.7616e-05
                     50,                 0.2016,                 1.3795,                0.96158,                      1,                0.98836,                  0.995,                0.97503,                0.31343,                 1.4483,                0.46703,             2.9204e-05,             2.9204e-05,             2.9204e-05
